city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,7
sj,2008,20,7
sj,2008,21,7
sj,2008,22,7
sj,2008,23,9
sj,2008,24,9
sj,2008,25,7
sj,2008,26,9
sj,2008,27,11
sj,2008,28,23
sj,2008,29,17
sj,2008,30,11
sj,2008,31,11
sj,2008,32,17
sj,2008,33,29
sj,2008,34,29
sj,2008,35,56
sj,2008,36,65
sj,2008,37,46
sj,2008,38,75
sj,2008,39,82
sj,2008,40,63
sj,2008,41,56
sj,2008,42,38
sj,2008,43,42
sj,2008,44,22
sj,2008,45,25
sj,2008,46,13
sj,2008,47,12
sj,2008,48,13
sj,2008,49,18
sj,2008,50,8
sj,2008,51,7
sj,2008,52,7
sj,2009,1,7
sj,2009,2,7
sj,2009,3,6
sj,2009,4,6
sj,2009,5,6
sj,2009,6,7
sj,2009,7,6
sj,2009,8,6
sj,2009,9,6
sj,2009,10,6
sj,2009,11,6
sj,2009,12,6
sj,2009,13,6
sj,2009,14,6
sj,2009,15,6
sj,2009,16,6
sj,2009,17,6
sj,2009,18,6
sj,2009,19,6
sj,2009,20,7
sj,2009,21,7
sj,2009,22,6
sj,2009,23,6
sj,2009,24,8
sj,2009,25,7
sj,2009,26,7
sj,2009,27,13
sj,2009,28,16
sj,2009,29,16
sj,2009,30,17
sj,2009,31,47
sj,2009,32,35
sj,2009,33,52
sj,2009,34,59
sj,2009,35,42
sj,2009,36,49
sj,2009,37,45
sj,2009,38,67
sj,2009,39,66
sj,2009,40,43
sj,2009,41,46
sj,2009,42,26
sj,2009,43,75
sj,2009,44,85
sj,2009,45,81
sj,2009,46,55
sj,2009,47,22
sj,2009,48,17
sj,2009,49,11
sj,2009,50,24
sj,2009,51,24
sj,2009,52,11
sj,2010,53,11
sj,2010,1,7
sj,2010,2,7
sj,2010,3,7
sj,2010,4,7
sj,2010,5,7
sj,2010,6,8
sj,2010,7,7
sj,2010,8,6
sj,2010,9,7
sj,2010,10,7
sj,2010,11,7
sj,2010,12,7
sj,2010,13,8
sj,2010,14,7
sj,2010,15,10
sj,2010,16,11
sj,2010,17,7
sj,2010,18,7
sj,2010,19,8
sj,2010,20,21
sj,2010,21,10
sj,2010,22,7
sj,2010,23,10
sj,2010,24,18
sj,2010,25,34
sj,2010,26,58
sj,2010,27,64
sj,2010,28,41
sj,2010,29,43
sj,2010,30,67
sj,2010,31,69
sj,2010,32,43
sj,2010,33,41
sj,2010,34,59
sj,2010,35,75
sj,2010,36,72
sj,2010,37,75
sj,2010,38,75
sj,2010,39,79
sj,2010,40,68
sj,2010,41,78
sj,2010,42,58
sj,2010,43,49
sj,2010,44,56
sj,2010,45,49
sj,2010,46,53
sj,2010,47,17
sj,2010,48,21
sj,2010,49,7
sj,2010,50,7
sj,2010,51,7
sj,2011,52,6
sj,2011,1,7
sj,2011,2,6
sj,2011,3,6
sj,2011,4,6
sj,2011,5,7
sj,2011,6,6
sj,2011,7,7
sj,2011,8,6
sj,2011,9,6
sj,2011,10,6
sj,2011,11,6
sj,2011,12,6
sj,2011,13,6
sj,2011,14,6
sj,2011,15,6
sj,2011,16,6
sj,2011,17,7
sj,2011,18,6
sj,2011,19,6
sj,2011,20,6
sj,2011,21,6
sj,2011,22,6
sj,2011,23,8
sj,2011,24,8
sj,2011,25,29
sj,2011,26,29
sj,2011,27,41
sj,2011,28,40
sj,2011,29,37
sj,2011,30,39
sj,2011,31,38
sj,2011,32,38
sj,2011,33,42
sj,2011,34,34
sj,2011,35,42
sj,2011,36,61
sj,2011,37,43
sj,2011,38,45
sj,2011,39,57
sj,2011,40,67
sj,2011,41,43
sj,2011,42,42
sj,2011,43,61
sj,2011,44,35
sj,2011,45,18
sj,2011,46,11
sj,2011,47,28
sj,2011,48,18
sj,2011,49,17
sj,2011,50,8
sj,2011,51,7
sj,2012,52,7
sj,2012,1,8
sj,2012,2,6
sj,2012,3,7
sj,2012,4,7
sj,2012,5,6
sj,2012,6,7
sj,2012,7,6
sj,2012,8,6
sj,2012,9,6
sj,2012,10,6
sj,2012,11,6
sj,2012,12,6
sj,2012,13,6
sj,2012,14,6
sj,2012,15,6
sj,2012,16,8
sj,2012,17,7
sj,2012,18,7
sj,2012,19,8
sj,2012,20,7
sj,2012,21,7
sj,2012,22,6
sj,2012,23,7
sj,2012,24,7
sj,2012,25,7
sj,2012,26,11
sj,2012,27,25
sj,2012,28,44
sj,2012,29,48
sj,2012,30,22
sj,2012,31,30
sj,2012,32,37
sj,2012,33,42
sj,2012,34,35
sj,2012,35,43
sj,2012,36,65
sj,2012,37,57
sj,2012,38,39
sj,2012,39,25
sj,2012,40,66
sj,2012,41,66
sj,2012,42,74
sj,2012,43,65
sj,2012,44,29
sj,2012,45,46
sj,2012,46,40
sj,2012,47,77
sj,2012,48,17
sj,2012,49,17
sj,2012,50,24
sj,2012,51,11
sj,2013,1,7
sj,2013,2,7
sj,2013,3,7
sj,2013,4,6
sj,2013,5,7
sj,2013,6,6
sj,2013,7,6
sj,2013,8,6
sj,2013,9,6
sj,2013,10,6
sj,2013,11,6
sj,2013,12,6
sj,2013,13,7
sj,2013,14,6
sj,2013,15,6
sj,2013,16,7
sj,2013,17,8
iq,2010,26,8
iq,2010,27,8
iq,2010,28,8
iq,2010,29,8
