city,year,weekofyear,total_cases
sj,2008,18,11
sj,2008,19,11
sj,2008,20,11
sj,2008,21,11
sj,2008,22,11
sj,2008,23,15
sj,2008,24,12
sj,2008,25,14
sj,2008,26,15
sj,2008,27,17
sj,2008,28,12
sj,2008,29,19
sj,2008,30,19
sj,2008,31,36
sj,2008,32,29
sj,2008,33,60
sj,2008,34,31
sj,2008,35,47
sj,2008,36,60
sj,2008,37,73
sj,2008,38,36
sj,2008,39,28
sj,2008,40,32
sj,2008,41,33
sj,2008,42,16
sj,2008,43,14
sj,2008,44,16
sj,2008,45,17
sj,2008,46,14
sj,2008,47,15
sj,2008,48,14
sj,2008,49,13
sj,2008,50,13
sj,2008,51,13
sj,2008,52,13
sj,2009,1,11
sj,2009,2,11
sj,2009,3,11
sj,2009,4,11
sj,2009,5,11
sj,2009,6,11
sj,2009,7,11
sj,2009,8,11
sj,2009,9,11
sj,2009,10,11
sj,2009,11,11
sj,2009,12,11
sj,2009,13,11
sj,2009,14,11
sj,2009,15,11
sj,2009,16,11
sj,2009,17,11
sj,2009,18,11
sj,2009,19,11
sj,2009,20,11
sj,2009,21,13
sj,2009,22,11
sj,2009,23,11
sj,2009,24,12
sj,2009,25,12
sj,2009,26,12
sj,2009,27,18
sj,2009,28,41
sj,2009,29,30
sj,2009,30,30
sj,2009,31,36
sj,2009,32,36
sj,2009,33,49
sj,2009,34,38
sj,2009,35,49
sj,2009,36,60
sj,2009,37,20
sj,2009,38,36
sj,2009,39,33
sj,2009,40,60
sj,2009,41,60
sj,2009,42,47
sj,2009,43,47
sj,2009,44,33
sj,2009,45,23
sj,2009,46,19
sj,2009,47,23
sj,2009,48,19
sj,2009,49,16
sj,2009,50,14
sj,2009,51,14
sj,2009,52,13
sj,2010,53,13
sj,2010,1,11
sj,2010,2,11
sj,2010,3,12
sj,2010,4,11
sj,2010,5,11
sj,2010,6,11
sj,2010,7,11
sj,2010,8,11
sj,2010,9,11
sj,2010,10,12
sj,2010,11,11
sj,2010,12,11
sj,2010,13,11
sj,2010,14,11
sj,2010,15,11
sj,2010,16,15
sj,2010,17,11
sj,2010,18,11
sj,2010,19,11
sj,2010,20,13
sj,2010,21,12
sj,2010,22,26
sj,2010,23,51
sj,2010,24,45
sj,2010,25,19
sj,2010,26,17
sj,2010,27,39
sj,2010,28,58
sj,2010,29,21
sj,2010,30,26
sj,2010,31,34
sj,2010,32,47
sj,2010,33,53
sj,2010,34,60
sj,2010,35,60
sj,2010,36,53
sj,2010,37,38
sj,2010,38,53
sj,2010,39,30
sj,2010,40,33
sj,2010,41,38
sj,2010,42,43
sj,2010,43,47
sj,2010,44,17
sj,2010,45,21
sj,2010,46,13
sj,2010,47,13
sj,2010,48,13
sj,2010,49,13
sj,2010,50,13
sj,2010,51,13
sj,2011,52,13
sj,2011,1,11
sj,2011,2,11
sj,2011,3,11
sj,2011,4,11
sj,2011,5,11
sj,2011,6,11
sj,2011,7,11
sj,2011,8,11
sj,2011,9,11
sj,2011,10,11
sj,2011,11,11
sj,2011,12,11
sj,2011,13,11
sj,2011,14,11
sj,2011,15,11
sj,2011,16,11
sj,2011,17,11
sj,2011,18,11
sj,2011,19,11
sj,2011,20,12
sj,2011,21,13
sj,2011,22,12
sj,2011,23,12
sj,2011,24,14
sj,2011,25,36
sj,2011,26,15
sj,2011,27,17
sj,2011,28,14
sj,2011,29,14
sj,2011,30,22
sj,2011,31,15
sj,2011,32,22
sj,2011,33,51
sj,2011,34,27
sj,2011,35,37
sj,2011,36,49
sj,2011,37,58
sj,2011,38,26
sj,2011,39,19
sj,2011,40,45
sj,2011,41,28
sj,2011,42,19
sj,2011,43,14
sj,2011,44,14
sj,2011,45,18
sj,2011,46,14
sj,2011,47,15
sj,2011,48,13
sj,2011,49,14
sj,2011,50,19
sj,2011,51,17
sj,2012,52,13
sj,2012,1,11
sj,2012,2,11
sj,2012,3,11
sj,2012,4,11
sj,2012,5,11
sj,2012,6,11
sj,2012,7,11
sj,2012,8,11
sj,2012,9,11
sj,2012,10,11
sj,2012,11,11
sj,2012,12,11
sj,2012,13,12
sj,2012,14,11
sj,2012,15,11
sj,2012,16,12
sj,2012,17,11
sj,2012,18,11
sj,2012,19,11
sj,2012,20,11
sj,2012,21,11
sj,2012,22,12
