,city,year,weekofyear,total_cases
0,sj,2008,22,74
1,sj,2008,23,19
2,sj,2008,24,58
3,sj,2008,25,58
4,sj,2008,26,58
5,sj,2008,27,51
6,sj,2008,28,57
7,sj,2008,29,60
8,sj,2008,30,43
9,sj,2008,31,33
10,sj,2008,32,55
11,sj,2008,33,83
12,sj,2008,34,51
13,sj,2008,35,57
14,sj,2008,36,61
15,sj,2008,37,50
16,sj,2008,38,63
17,sj,2008,39,57
18,sj,2008,40,71
19,sj,2008,41,63
20,sj,2008,42,58
21,sj,2008,43,65
22,sj,2008,44,115
23,sj,2008,45,63
24,sj,2008,46,57
25,sj,2008,47,57
26,sj,2008,48,65
27,sj,2008,49,54
28,sj,2008,50,61
29,sj,2008,51,61
30,sj,2008,52,54
31,sj,2009,1,13
32,sj,2009,2,29
33,sj,2009,3,33
34,sj,2009,4,28
35,sj,2009,5,29
36,sj,2009,6,30
37,sj,2009,7,33
38,sj,2009,8,35
39,sj,2009,9,22
40,sj,2009,10,30
41,sj,2009,11,52
42,sj,2009,12,28
43,sj,2009,13,34
44,sj,2009,14,20
45,sj,2009,15,34
46,sj,2009,16,32
47,sj,2009,17,36
48,sj,2009,18,37
49,sj,2009,19,58
50,sj,2009,20,41
51,sj,2009,21,41
52,sj,2009,22,41
53,sj,2009,23,50
54,sj,2009,24,68
55,sj,2009,25,49
56,sj,2009,26,57
57,sj,2009,27,55
58,sj,2009,28,54
59,sj,2009,29,60
60,sj,2009,30,63
61,sj,2009,31,63
62,sj,2009,32,67
63,sj,2009,33,68
64,sj,2009,34,65
65,sj,2009,35,69
66,sj,2009,36,72
67,sj,2009,37,40
68,sj,2009,38,93
69,sj,2009,39,74
70,sj,2009,40,73
71,sj,2009,41,63
72,sj,2009,42,60
73,sj,2009,43,77
74,sj,2009,44,72
75,sj,2009,45,81
76,sj,2009,46,84
77,sj,2009,47,69
78,sj,2009,48,72
79,sj,2009,49,59
80,sj,2009,50,66
81,sj,2009,51,59
82,sj,2009,52,67
83,sj,2010,53,63
84,sj,2010,1,37
85,sj,2010,2,41
86,sj,2010,3,27
87,sj,2010,4,40
88,sj,2010,5,38
89,sj,2010,6,23
90,sj,2010,7,26
91,sj,2010,8,57
92,sj,2010,9,34
93,sj,2010,10,64
94,sj,2010,11,56
95,sj,2010,12,46
96,sj,2010,13,46
97,sj,2010,14,43
98,sj,2010,15,43
99,sj,2010,16,22
100,sj,2010,17,73
101,sj,2010,18,52
102,sj,2010,19,44
103,sj,2010,20,49
104,sj,2010,21,51
105,sj,2010,22,99
106,sj,2010,23,54
107,sj,2010,24,59
108,sj,2010,25,60
109,sj,2010,26,18
110,iq,2010,26,8
111,sj,2010,27,20
112,iq,2010,27,10
113,sj,2010,28,19
114,iq,2010,28,9
115,sj,2010,29,7
116,iq,2010,29,-2
117,sj,2010,30,18
118,iq,2010,30,8
119,sj,2010,31,15
120,iq,2010,31,5
121,sj,2010,32,19
122,iq,2010,32,9
123,sj,2010,33,18
124,iq,2010,33,7
125,sj,2010,34,10
126,iq,2010,34,0
127,sj,2010,35,26
128,iq,2010,35,16
129,sj,2010,36,31
130,iq,2010,36,21
131,sj,2010,37,30
132,iq,2010,37,20
133,sj,2010,38,20
134,iq,2010,38,10
135,sj,2010,39,29
136,iq,2010,39,19
137,sj,2010,40,34
138,iq,2010,40,24
139,sj,2010,41,28
140,iq,2010,41,18
141,sj,2010,42,22
142,iq,2010,42,12
143,sj,2010,43,34
144,iq,2010,43,24
145,sj,2010,44,29
146,iq,2010,44,19
147,sj,2010,45,34
148,iq,2010,45,24
149,sj,2010,46,26
150,iq,2010,46,16
151,sj,2010,47,35
152,iq,2010,47,25
153,sj,2010,48,72
154,iq,2010,48,61
155,sj,2010,49,24
156,iq,2010,49,14
157,sj,2010,50,31
158,iq,2010,50,21
159,sj,2010,51,32
160,iq,2010,51,22
161,sj,2011,52,29
162,iq,2011,52,19
163,sj,2011,1,10
164,iq,2011,1,0
165,sj,2011,2,5
166,iq,2011,2,-4
167,sj,2011,3,7
168,iq,2011,3,-2
169,sj,2011,4,14
170,iq,2011,4,4
171,sj,2011,5,7
172,iq,2011,5,-2
173,sj,2011,6,6
174,iq,2011,6,-3
175,sj,2011,7,4
176,iq,2011,7,-5
