city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
sj,1990,18,1990-04-30,0.1226,0.103725,0.1984833,0.1776167,297.57285,297.74286,292.41428,299.8,295.9,32.0,73.365715,12.42,14.012857,2.6285715,25.442858,6.9,29.4,20.0,16.0,4
sj,1990,19,1990-05-07,0.1699,0.142175,0.1623571,0.1554857,298.21143,298.44287,293.95142,300.9,296.4,17.94,77.36857,22.82,15.372857,2.3714285,26.714285,6.3714285,31.7,22.2,8.6,5
sj,1990,20,1990-05-14,0.03225,0.1729667,0.1572,0.1708429,298.78143,298.87857,295.4343,300.5,297.3,26.1,82.05286,34.54,16.848572,2.3,26.714285,6.4857144,32.2,22.8,41.4,4
sj,1990,21,1990-05-21,0.1286333,0.2450667,0.2275571,0.2358857,298.98715,299.22858,295.31,301.4,297.0,13.9,80.33714,15.36,16.672857,2.4285715,27.471428,6.7714286,33.3,23.3,4.0,3
sj,1990,22,1990-05-28,0.1962,0.2622,0.2512,0.24734,299.5186,299.66428,295.82144,301.9,297.5,12.2,80.46,7.52,17.21,3.0142858,28.942858,9.3714285,35.0,23.9,5.8,6
sj,1990,23,1990-06-04,,0.17485,0.2543143,0.1817429,299.63,299.76428,295.85144,302.4,298.1,26.49,79.891426,9.58,17.212856,2.1,28.114286,6.9428573,34.4,23.9,39.1,2
sj,1990,24,1990-06-11,0.1129,0.0928,0.2050714,0.2102714,299.20715,299.22144,295.86572,301.3,297.7,38.6,82.0,3.48,17.234285,2.0428572,27.414286,6.7714286,32.2,23.3,29.7,4
sj,1990,25,1990-06-18,0.0725,0.0725,0.1514714,0.1330286,299.59143,299.52856,296.53143,300.6,298.4,30.0,83.37572,151.12,17.977142,1.5714285,28.37143,7.6857142,33.9,22.8,21.1,5
sj,1990,26,1990-06-25,0.10245,0.146175,0.1255714,0.1236,299.57858,299.55713,296.37857,302.1,297.7,37.51,82.76857,19.32,17.79,1.8857143,28.328571,7.385714,33.9,22.8,21.1,10
sj,1990,27,1990-07-02,,0.12155,0.1606833,0.2025667,300.1543,300.27856,296.65143,302.3,298.7,28.4,81.281425,14.41,18.071428,2.0142858,28.328571,6.5142856,33.9,24.4,1.1,6
sj,1990,28,1990-07-09,0.192875,0.08235,0.1919429,0.1529286,299.51285,299.59286,296.04144,301.8,298.0,43.72,81.46714,22.27,17.418571,2.1571429,27.557142,7.1571426,31.7,21.7,63.7,8
sj,1990,29,1990-07-16,0.2916,0.2118,0.3012,0.2806667,299.66714,299.75,296.3343,302.0,297.3,40.9,82.14429,59.17,17.737143,2.4142857,28.12857,6.9,32.8,23.9,12.2,2
sj,1990,30,1990-07-23,0.1505667,0.1717,0.2269,0.2145571,299.55856,299.6357,295.96,301.8,297.1,42.53,80.74286,16.48,17.341429,2.0714285,28.114286,6.357143,31.7,22.8,32.6,6
sj,1990,31,1990-07-30,,0.24715,0.3797,0.3813571,299.86285,299.95,296.17285,303.0,298.3,34.6,80.58428,32.66,17.594286,2.5857143,28.242857,8.085714,34.4,22.8,37.6,17
sj,1990,32,1990-08-06,,0.06433333,0.1644429,0.1388571,300.39142,300.47858,296.53287,302.5,298.8,20.0,79.65,28.8,17.95,2.3285713,28.2,7.5571427,33.3,23.3,11.4,23
sj,1990,33,1990-08-13,,0.1280333,0.2069571,0.1682429,299.95856,299.95715,297.0357,302.6,298.5,101.9,84.17857,90.75,18.515715,1.8571428,28.042856,6.6857142,32.8,22.8,44.7,13
sj,1990,34,1990-08-20,0.1902333,0.1688,0.1676571,0.1722857,300.33286,300.41428,296.72858,302.5,298.1,25.9,80.94714,32.4,18.174286,2.4857142,28.342857,7.0142856,33.3,23.3,5.4,21
sj,1990,35,1990-08-27,0.2529,0.33075,0.2641714,0.2843143,300.11856,300.22144,297.01715,302.2,298.7,39.8,83.34857,40.94,18.515715,1.9,28.657143,6.5285716,32.2,24.4,13.7,28
sj,1990,36,1990-09-03,0.2354,0.200025,0.2838167,0.2304429,300.53,300.6357,296.11716,303.8,298.0,30.4,77.17286,28.86,17.56,3.4714286,28.328571,7.614286,32.8,23.3,14.2,24
sj,1990,37,1990-09-10,0.1279667,0.4371,0.1234,0.1482833,300.6743,300.79285,297.19287,302.9,299.0,24.18,81.55143,64.56,18.777143,2.9,28.685715,8.057143,33.9,24.4,25.9,20
sj,1990,38,1990-09-17,0.19635,0.1824333,0.2548286,0.3056857,299.85715,299.9,296.43143,301.7,298.7,36.6,81.637146,143.73,17.892857,1.7428571,28.242857,8.114285,32.8,23.9,3.3,40
sj,1990,39,1990-09-24,0.1161,0.2609,0.1994429,0.2442167,300.42715,300.6,296.02856,302.4,299.1,16.4,77.04857,51.39,17.46857,2.2571428,28.342857,7.7285714,32.8,24.4,15.8,27
sj,1990,40,1990-10-01,0.22855,0.18975,0.2124857,0.2011857,300.77573,300.85,296.66428,303.3,299.1,36.1,78.52,31.18,18.18,2.9,28.77143,8.028571,33.3,23.9,11.7,42
sj,1990,41,1990-10-08,0.17115,0.06755,0.1794667,0.1577167,299.85715,299.94287,296.92856,301.8,298.1,132.4,84.11,51.42,18.512857,2.5714285,28.62857,7.3142858,33.3,24.4,57.7,33
sj,1990,42,1990-10-15,,0.0702,0.1816167,0.16575,299.1957,299.30713,296.54428,301.5,297.5,279.6,85.62143,143.55,18.115715,1.8714286,27.62857,7.4,32.8,23.3,61.8,43
sj,1990,43,1990-10-22,0.1462,0.08975,0.1288286,0.1239286,298.90286,299.04285,296.25714,300.9,297.2,94.52,85.50285,127.03,17.75,1.8,26.77143,7.6285715,32.2,21.7,91.5,37
sj,1990,44,1990-10-29,0.25225,0.1834333,0.318,0.2959,299.72714,299.77856,296.53427,301.4,298.5,22.26,82.78714,101.35,18.034286,1.7857143,27.971428,8.642858,33.3,22.8,6.3,57
sj,1990,45,1990-11-05,0.1526,0.181775,0.1783286,0.1866286,299.97287,300.0357,296.5643,302.2,298.5,14.4,81.71571,20.46,18.074286,2.3857143,28.471428,8.428572,33.3,23.9,6.6,71
sj,1990,46,1990-11-12,0.2908,0.2246,0.1803857,0.2348857,300.35,300.5,295.68713,302.3,298.8,7.1,75.72857,20.0,17.085714,2.2,27.542856,8.6,32.8,22.2,38.9,44
sj,1990,47,1990-11-19,0.2722,0.33035,0.1316333,0.1253833,299.5114,299.6357,295.3757,301.6,297.0,36.7,78.15143,20.04,16.752857,2.5285714,26.8,7.4142857,31.7,22.2,9.6,56
sj,1990,48,1990-11-26,0.1367667,0.216525,0.1767857,0.1415857,298.2386,298.26428,294.81143,300.2,296.5,44.3,81.38571,33.61,16.20857,1.9857143,26.2,7.1285715,31.1,20.6,26.7,53
sj,1990,49,1990-12-03,0.1098,0.0886,0.2667833,0.2517,298.54285,298.6857,294.78287,300.8,296.7,71.8,79.90857,9.96,16.161428,2.057143,25.985714,5.542857,29.4,22.2,69.0,52
sj,1990,50,1990-12-10,0.12135,0.26166,0.1913857,0.2099857,298.20285,298.27856,292.00427,300.6,296.1,4.1,68.722855,0.0,13.615714,2.9857142,24.685715,7.7714286,29.4,19.4,2.8,47
sj,1990,51,1990-12-17,0.2931333,0.2668667,0.2608571,0.3027286,298.29715,298.37857,294.55856,300.9,296.0,32.31,80.082855,52.45,15.954286,2.8714285,25.714285,6.5857143,30.6,21.1,19.8,26
sj,1990,52,1990-12-24,0.3025,0.2772333,0.1712667,0.1616222,298.03857,298.08572,292.1057,299.8,295.3,5.46,69.68143,0.0,13.6828575,2.2857144,25.157143,5.8428574,28.9,21.1,20.9,27
sj,1991,1,1991-01-01,0.1465,0.1404667,0.1515,0.1673143,297.06,297.1357,291.90714,299.0,293.9,4.8,72.93857,0.0,13.511429,2.5285714,24.385714,7.457143,29.4,18.9,5.3,21
sj,1991,2,1991-01-08,,0.1004667,0.2519,0.1376167,297.6743,297.82858,293.28287,299.3,295.8,26.33,76.62857,15.85,14.671429,1.8857143,24.914286,6.3142858,28.3,21.1,31.7,21
sj,1991,3,1991-01-15,,0.2935667,0.2599429,0.2179,297.42285,297.65714,293.41287,299.3,296.1,27.4,78.5,0.0,14.798572,2.0,25.242857,6.571429,29.4,21.1,16.5,26
sj,1991,4,1991-01-22,0.3313,0.3093333,0.2210286,0.2027571,297.88428,298.15,292.38284,300.3,296.0,0.7,71.597145,0.0,13.8785715,2.557143,24.714285,7.7714286,29.4,18.3,6.8,34
sj,1991,5,1991-01-29,0.0917,0.246425,0.2438571,0.1956,298.04428,298.22858,292.57285,300.1,295.0,5.7,71.78429,0.0,14.044286,2.7714286,24.828571,8.157143,30.0,18.9,5.9,37
sj,1991,6,1991-02-05,0.3801,0.2285667,0.2550429,0.2258,297.74,297.92856,293.15,299.7,295.0,19.69,75.79429,0.0,14.541429,2.4285715,25.057142,6.885714,30.0,20.6,7.3,17
sj,1991,7,1991-02-12,0.0712,0.2211,0.2762429,0.2673429,296.88428,297.1143,292.97287,300.2,294.1,21.4,78.89571,18.05,14.46,3.2,25.142857,8.8714285,32.2,18.9,5.6,19
sj,1991,8,1991-02-19,,0.2094,0.1084333,0.1194,297.41428,297.6143,293.63144,300.1,295.8,26.2,79.74,0.0,15.035714,2.5714285,25.842857,8.471429,32.2,20.0,17.8,25
sj,1991,9,1991-02-26,0.1702,0.2086,0.13752,0.1914333,297.5057,297.82858,293.40714,299.8,295.8,23.8,77.97714,31.79,14.794286,2.1142857,25.257143,7.2,30.6,20.0,30.7,18
sj,1991,10,1991-03-05,0.21075,0.2641,0.2476857,0.2163571,297.77713,298.07858,293.53143,300.3,296.4,8.3,77.31571,0.0,14.92,2.2428572,26.014286,8.314285,31.1,20.6,10.9,21
sj,1991,11,1991-03-12,,,0.21325,0.2405429,297.43143,297.6357,293.33572,300.1,295.7,13.37,78.13857,0.0,14.787143,2.7285714,25.928572,8.971429,31.7,20.6,3.6,17
sj,1991,12,1991-03-19,0.1279,0.1784,0.1470143,0.1593,297.40714,297.6143,293.25427,300.4,295.4,11.1,77.88286,0.0,14.745714,2.5428572,26.085714,6.9714284,32.2,21.1,5.7,17
sj,1991,13,1991-03-26,0.28035,0.223575,0.2478833,0.2473857,297.47,297.69287,293.74,301.0,295.7,21.26,80.00143,0.0,15.148571,2.7571428,26.057142,6.5857143,32.2,22.2,26.9,16
sj,1991,14,1991-04-02,0.1691,0.216825,0.2605143,0.2219714,297.0643,297.1857,292.48,299.4,295.4,20.9,75.66286,12.92,13.991428,2.2857144,25.242857,6.8142858,28.9,20.6,4.1,16
