city,year,weekofyear,total_cases
sj,2008,18,18
sj,2008,19,44
sj,2008,20,15
sj,2008,21,16
sj,2008,22,35
sj,2008,23,17
sj,2008,24,26
sj,2008,25,41
sj,2008,26,29
sj,2008,27,38
sj,2008,28,31
sj,2008,29,39
sj,2008,30,34
sj,2008,31,62
sj,2008,32,40
sj,2008,33,61
sj,2008,34,41
sj,2008,35,48
sj,2008,36,118
sj,2008,37,64
sj,2008,38,52
sj,2008,39,48
sj,2008,40,42
sj,2008,41,35
sj,2008,42,36
sj,2008,43,26
sj,2008,44,121
sj,2008,45,53
sj,2008,46,27
sj,2008,47,24
sj,2008,48,27
sj,2008,49,39
sj,2008,50,37
sj,2008,51,32
sj,2008,52,42
sj,2009,1,40
sj,2009,2,40
sj,2009,3,22
sj,2009,4,18
sj,2009,5,18
sj,2009,6,19
sj,2009,7,17
sj,2009,8,18
sj,2009,9,18
sj,2009,10,16
sj,2009,11,13
sj,2009,12,23
sj,2009,13,12
sj,2009,14,21
sj,2009,15,13
sj,2009,16,12
sj,2009,17,10
sj,2009,18,13
sj,2009,19,12
sj,2009,20,16
sj,2009,21,15
sj,2009,22,17
sj,2009,23,17
sj,2009,24,17
sj,2009,25,18
sj,2009,26,29
sj,2009,27,32
sj,2009,28,52
sj,2009,29,34
sj,2009,30,41
sj,2009,31,48
sj,2009,32,62
sj,2009,33,63
sj,2009,34,47
sj,2009,35,67
sj,2009,36,126
sj,2009,37,48
sj,2009,38,51
sj,2009,39,40
sj,2009,40,72
sj,2009,41,72
sj,2009,42,48
sj,2009,43,63
sj,2009,44,53
sj,2009,45,38
sj,2009,46,38
sj,2009,47,52
sj,2009,48,54
sj,2009,49,35
sj,2009,50,43
sj,2009,51,30
sj,2009,52,26
sj,2010,53,29
sj,2010,1,19
sj,2010,2,19
sj,2010,3,25
sj,2010,4,20
sj,2010,5,26
sj,2010,6,17
sj,2010,7,18
sj,2010,8,32
sj,2010,9,17
sj,2010,10,26
sj,2010,11,11
sj,2010,12,16
sj,2010,13,21
sj,2010,14,11
sj,2010,15,11
sj,2010,16,28
sj,2010,17,30
sj,2010,18,24
sj,2010,19,17
sj,2010,20,27
sj,2010,21,38
sj,2010,22,57
sj,2010,23,58
sj,2010,24,57
sj,2010,25,36
sj,2010,26,7
sj,2010,27,5
sj,2010,28,7
sj,2010,29,5
sj,2010,30,4
sj,2010,31,8
sj,2010,32,5
sj,2010,33,6
sj,2010,34,6
sj,2010,35,8
sj,2010,36,6
sj,2010,37,7
sj,2010,38,8
sj,2010,39,7
sj,2010,40,9
sj,2010,41,9
sj,2010,42,10
sj,2010,43,11
sj,2010,44,23
sj,2010,45,15
sj,2010,46,11
sj,2010,47,11
sj,2010,48,49
sj,2010,49,12
sj,2010,50,13
sj,2010,51,10
sj,2011,52,9
sj,2011,1,13
sj,2011,2,10
sj,2011,3,10
sj,2011,4,9
sj,2011,5,9
sj,2011,6,10
sj,2011,7,9
sj,2011,8,8
sj,2011,9,9
sj,2011,10,8
sj,2011,11,7
sj,2011,12,8
sj,2011,13,8
sj,2011,14,9
sj,2011,15,8
sj,2011,16,8
sj,2011,17,8
sj,2011,18,8
sj,2011,19,8
sj,2011,20,5
sj,2011,21,6
