city,year,weekofyear,total_cases
sj,2008,18,22
sj,2008,19,39
sj,2008,20,20
sj,2008,21,42
sj,2008,22,59
sj,2008,23,25
sj,2008,24,28
sj,2008,25,37
sj,2008,26,47
sj,2008,27,41
sj,2008,28,37
sj,2008,29,50
sj,2008,30,58
sj,2008,31,53
sj,2008,32,50
sj,2008,33,66
sj,2008,34,63
sj,2008,35,76
sj,2008,36,110
sj,2008,37,63
sj,2008,38,78
sj,2008,39,69
sj,2008,40,62
sj,2008,41,87
sj,2008,42,44
sj,2008,43,47
sj,2008,44,136
sj,2008,45,65
sj,2008,46,45
sj,2008,47,39
sj,2008,48,51
sj,2008,49,68
sj,2008,50,69
sj,2008,51,47
sj,2008,52,32
sj,2009,1,24
sj,2009,2,27
sj,2009,3,27
sj,2009,4,19
sj,2009,5,18
sj,2009,6,18
sj,2009,7,19
sj,2009,8,20
sj,2009,9,16
sj,2009,10,20
sj,2009,11,18
sj,2009,12,25
sj,2009,13,15
sj,2009,14,19
sj,2009,15,15
sj,2009,16,16
sj,2009,17,18
sj,2009,18,16
sj,2009,19,14
sj,2009,20,22
sj,2009,21,22
sj,2009,22,22
sj,2009,23,18
sj,2009,24,41
sj,2009,25,24
sj,2009,26,29
sj,2009,27,49
sj,2009,28,41
sj,2009,29,36
sj,2009,30,54
sj,2009,31,51
sj,2009,32,67
sj,2009,33,67
sj,2009,34,62
sj,2009,35,80
sj,2009,36,137
sj,2009,37,56
sj,2009,38,72
sj,2009,39,59
sj,2009,40,95
sj,2009,41,87
sj,2009,42,72
sj,2009,43,74
sj,2009,44,71
sj,2009,45,79
sj,2009,46,77
sj,2009,47,77
sj,2009,48,78
sj,2009,49,56
sj,2009,50,68
sj,2009,51,42
sj,2009,52,42
sj,2010,53,39
sj,2010,1,23
sj,2010,2,27
sj,2010,3,32
sj,2010,4,28
sj,2010,5,33
sj,2010,6,22
sj,2010,7,20
sj,2010,8,32
sj,2010,9,25
sj,2010,10,15
sj,2010,11,14
sj,2010,12,18
sj,2010,13,25
sj,2010,14,17
sj,2010,15,19
sj,2010,16,37
sj,2010,17,64
sj,2010,18,23
sj,2010,19,19
sj,2010,20,27
sj,2010,21,43
sj,2010,22,92
sj,2010,23,58
sj,2010,24,39
sj,2010,25,56
sj,2010,26,10
sj,2010,27,15
sj,2010,28,10
sj,2010,29,12
sj,2010,30,20
sj,2010,31,21
sj,2010,32,23
sj,2010,33,26
sj,2010,34,25
sj,2010,35,29
sj,2010,36,20
sj,2010,37,27
sj,2010,38,22
sj,2010,39,26
sj,2010,40,30
sj,2010,41,27
sj,2010,42,33
sj,2010,43,30
sj,2010,44,27
sj,2010,45,27
sj,2010,46,24
sj,2010,47,16
sj,2010,48,61
sj,2010,49,22
sj,2010,50,26
sj,2010,51,26
sj,2011,52,15
sj,2011,1,15
sj,2011,2,14
sj,2011,3,14
sj,2011,4,17
sj,2011,5,11
sj,2011,6,12
sj,2011,7,11
sj,2011,8,11
sj,2011,9,10
sj,2011,10,11
sj,2011,11,11
sj,2011,12,10
sj,2011,13,10
sj,2011,14,10
sj,2011,15,10
sj,2011,16,10
sj,2011,17,10
sj,2011,18,10
sj,2011,19,11
sj,2011,20,10
sj,2011,21,10
sj,2011,22,11
sj,2011,23,10
sj,2011,24,15
sj,2011,25,10
sj,2011,26,11
sj,2011,27,11
sj,2011,28,11
