,city,week_start_date,total_cases
0,iq,2000-07-01,0
1,iq,2000-07-08,0
2,iq,2000-07-15,0
3,iq,2000-07-22,0
4,iq,2000-07-29,0
5,iq,2000-08-05,0
6,iq,2000-08-12,0
7,iq,2000-08-19,0
8,iq,2000-08-26,0
9,iq,2000-09-02,0
10,iq,2000-09-09,1
11,iq,2000-09-16,0
12,iq,2000-09-23,0
13,iq,2000-09-30,0
14,iq,2000-10-07,0
15,iq,2000-10-14,1
16,iq,2000-10-21,1
17,iq,2000-10-28,0
18,iq,2000-11-04,0
19,iq,2000-11-11,0
20,iq,2000-11-18,0
21,iq,2000-11-25,0
22,iq,2000-12-02,0
23,iq,2000-12-09,0
24,iq,2000-12-16,1
25,iq,2000-12-23,0
26,iq,2001-01-01,0
27,iq,2001-01-08,0
28,iq,2001-01-15,0
29,iq,2001-01-22,0
30,iq,2001-01-29,0
31,iq,2001-02-05,0
32,iq,2001-02-12,0
33,iq,2001-02-19,0
34,iq,2001-02-26,0
35,iq,2001-03-05,0
36,iq,2001-03-12,0
37,iq,2001-03-19,0
38,iq,2001-03-26,0
39,iq,2001-04-02,0
40,iq,2001-04-09,0
41,iq,2001-04-16,1
42,iq,2001-04-23,0
43,iq,2001-04-30,0
44,iq,2001-05-07,0
45,iq,2001-05-14,0
46,iq,2001-05-21,1
47,iq,2001-05-28,1
48,iq,2001-06-04,0
49,iq,2001-06-11,0
50,iq,2001-06-18,1
51,iq,2001-06-25,0
52,iq,2001-07-02,0
53,iq,2001-07-09,0
54,iq,2001-07-16,0
55,iq,2001-07-23,0
56,iq,2001-07-30,0
57,iq,2001-08-06,0
58,iq,2001-08-13,0
59,iq,2001-08-20,0
60,iq,2001-08-27,0
61,iq,2001-09-03,0
62,iq,2001-09-10,0
63,iq,2001-09-17,0
64,iq,2001-09-24,0
65,iq,2001-10-01,0
66,iq,2001-10-08,0
67,iq,2001-10-15,0
68,iq,2001-10-22,0
69,iq,2001-10-29,0
70,iq,2001-11-05,0
71,iq,2001-11-12,0
72,iq,2001-11-19,1
73,iq,2001-11-26,1
74,iq,2001-12-03,1
75,iq,2001-12-10,2
76,iq,2001-12-17,4
77,iq,2001-12-24,1
78,iq,2002-01-01,4
79,iq,2002-01-08,11
80,iq,2002-01-15,16
81,iq,2002-01-22,23
82,iq,2002-01-29,12
83,iq,2002-02-05,14
84,iq,2002-02-12,18
85,iq,2002-02-19,8
86,iq,2002-02-26,7
87,iq,2002-03-05,10
88,iq,2002-03-12,7
89,iq,2002-03-19,10
90,iq,2002-03-26,5
91,iq,2002-04-02,11
92,iq,2002-04-09,8
93,iq,2002-04-16,18
94,iq,2002-04-23,13
95,iq,2002-04-30,9
96,iq,2002-05-07,22
97,iq,2002-05-14,10
98,iq,2002-05-21,5
99,iq,2002-05-28,13
100,iq,2002-06-04,2
101,iq,2002-06-11,11
102,iq,2002-06-18,11
103,iq,2002-06-25,3
104,iq,2002-07-02,7
105,iq,2002-07-09,7
106,iq,2002-07-16,4
107,iq,2002-07-23,5
108,iq,2002-07-30,6
109,iq,2002-08-06,7
110,iq,2002-08-13,7
111,iq,2002-08-20,4
112,iq,2002-08-27,9
113,iq,2002-09-03,17
114,iq,2002-09-10,8
115,iq,2002-09-17,22
116,iq,2002-09-24,18
117,iq,2002-10-01,21
118,iq,2002-10-08,16
119,iq,2002-10-15,31
120,iq,2002-10-22,25
121,iq,2002-10-29,28
122,iq,2002-11-05,26
123,iq,2002-11-12,18
124,iq,2002-11-19,27
125,iq,2002-11-26,11
126,iq,2002-12-03,38
127,iq,2002-12-10,29
128,iq,2002-12-17,21
129,iq,2002-12-24,11
130,iq,2003-01-01,10
131,iq,2003-01-08,5
132,iq,2003-01-15,6
133,iq,2003-01-22,2
134,iq,2003-01-29,1
135,iq,2003-02-05,2
136,iq,2003-02-12,2
137,iq,2003-02-19,3
138,iq,2003-02-26,5
139,iq,2003-03-05,1
140,iq,2003-03-12,4
141,iq,2003-03-19,2
142,iq,2003-03-26,4
143,iq,2003-04-02,0
144,iq,2003-04-09,0
145,iq,2003-04-16,0
146,iq,2003-04-23,0
147,iq,2003-04-30,1
148,iq,2003-05-07,1
149,iq,2003-05-14,1
150,iq,2003-05-21,1
151,iq,2003-05-28,1
152,iq,2003-06-04,2
153,iq,2003-06-11,3
154,iq,2003-06-18,4
155,iq,2003-06-25,6
156,iq,2003-07-02,2
157,iq,2003-07-09,2
158,iq,2003-07-16,5
159,iq,2003-07-23,1
160,iq,2003-07-30,1
161,iq,2003-08-06,0
162,iq,2003-08-13,0
163,iq,2003-08-20,0
164,iq,2003-08-27,0
165,iq,2003-09-03,2
166,iq,2003-09-10,0
167,iq,2003-09-17,3
168,iq,2003-09-24,0
169,iq,2003-10-01,0
170,iq,2003-10-08,0
171,iq,2003-10-15,2
172,iq,2003-10-22,2
173,iq,2003-10-29,3
174,iq,2003-11-05,3
175,iq,2003-11-12,3
176,iq,2003-11-19,1
177,iq,2003-11-26,2
178,iq,2003-12-03,3
179,iq,2003-12-10,6
180,iq,2003-12-17,5
181,iq,2003-12-24,1
182,iq,2004-01-01,4
183,iq,2004-01-08,5
184,iq,2004-01-15,8
185,iq,2004-01-22,5
186,iq,2004-01-29,2
187,iq,2004-02-05,3
188,iq,2004-02-12,3
189,iq,2004-02-19,1
190,iq,2004-02-26,6
191,iq,2004-03-04,4
192,iq,2004-03-11,1
193,iq,2004-03-18,2
194,iq,2004-03-25,3
195,iq,2004-04-01,1
196,iq,2004-04-08,8
197,iq,2004-04-15,4
198,iq,2004-04-22,6
199,iq,2004-04-29,7
200,iq,2004-05-06,5
201,iq,2004-05-13,8
202,iq,2004-05-20,6
203,iq,2004-05-27,5
204,iq,2004-06-03,6
205,iq,2004-06-10,6
206,iq,2004-06-17,13
207,iq,2004-06-24,2
208,iq,2004-07-01,10
209,iq,2004-07-08,3
210,iq,2004-07-15,12
211,iq,2004-07-22,7
212,iq,2004-07-29,6
213,iq,2004-08-05,5
214,iq,2004-08-12,6
215,iq,2004-08-19,6
216,iq,2004-08-26,6
217,iq,2004-09-02,8
218,iq,2004-09-09,6
219,iq,2004-09-16,9
220,iq,2004-09-23,12
221,iq,2004-09-30,19
222,iq,2004-10-07,8
223,iq,2004-10-14,16
224,iq,2004-10-21,21
225,iq,2004-10-28,6
226,iq,2004-11-04,22
227,iq,2004-11-11,37
228,iq,2004-11-18,33
229,iq,2004-11-25,18
230,iq,2004-12-02,83
231,iq,2004-12-09,116
232,iq,2004-12-16,32
233,iq,2004-12-23,7
234,iq,2005-01-01,9
235,iq,2005-01-08,10
236,iq,2005-01-15,5
237,iq,2005-01-22,8
238,iq,2005-01-29,7
239,iq,2005-02-05,8
240,iq,2005-02-12,11
241,iq,2005-02-19,6
242,iq,2005-02-26,7
243,iq,2005-03-05,7
244,iq,2005-03-12,14
245,iq,2005-03-19,7
246,iq,2005-03-26,9
247,iq,2005-04-02,13
248,iq,2005-04-09,16
249,iq,2005-04-16,7
250,iq,2005-04-23,9
251,iq,2005-04-30,2
252,iq,2005-05-07,13
253,iq,2005-05-14,8
254,iq,2005-05-21,3
255,iq,2005-05-28,5
256,iq,2005-06-04,4
257,iq,2005-06-11,8
258,iq,2005-06-18,2
259,iq,2005-06-25,3
260,iq,2005-07-02,5
261,iq,2005-07-09,7
262,iq,2005-07-16,3
263,iq,2005-07-23,5
264,iq,2005-07-30,6
265,iq,2005-08-06,5
266,iq,2005-08-13,5
267,iq,2005-08-20,4
268,iq,2005-08-27,0
269,iq,2005-09-03,0
270,iq,2005-09-10,0
271,iq,2005-09-17,0
272,iq,2005-09-24,0
273,iq,2005-10-01,2
274,iq,2005-10-08,4
275,iq,2005-10-15,4
276,iq,2005-10-22,3
277,iq,2005-10-29,3
278,iq,2005-11-05,5
279,iq,2005-11-12,6
280,iq,2005-11-19,14
281,iq,2005-11-26,3
282,iq,2005-12-03,7
283,iq,2005-12-10,11
284,iq,2005-12-17,2
285,iq,2005-12-24,6
286,iq,2006-01-01,8
287,iq,2006-01-08,25
288,iq,2006-01-15,21
289,iq,2006-01-22,10
290,iq,2006-01-29,28
291,iq,2006-02-05,39
292,iq,2006-02-12,20
293,iq,2006-02-19,24
294,iq,2006-02-26,28
295,iq,2006-03-05,26
296,iq,2006-03-12,8
297,iq,2006-03-19,9
298,iq,2006-03-26,12
299,iq,2006-04-02,18
300,iq,2006-04-09,9
301,iq,2006-04-16,9
302,iq,2006-04-23,6
303,iq,2006-04-30,6
304,iq,2006-05-07,8
305,iq,2006-05-14,5
306,iq,2006-05-21,7
307,iq,2006-05-28,6
308,iq,2006-06-04,5
309,iq,2006-06-11,3
310,iq,2006-06-18,1
311,iq,2006-06-25,0
312,iq,2006-07-02,1
313,iq,2006-07-09,2
314,iq,2006-07-16,3
315,iq,2006-07-23,2
316,iq,2006-07-30,2
317,iq,2006-08-06,2
318,iq,2006-08-13,2
319,iq,2006-08-20,2
320,iq,2006-08-27,4
321,iq,2006-09-03,0
322,iq,2006-09-10,6
323,iq,2006-09-17,3
324,iq,2006-09-24,2
325,iq,2006-10-01,6
326,iq,2006-10-08,2
327,iq,2006-10-15,7
328,iq,2006-10-22,4
329,iq,2006-10-29,6
330,iq,2006-11-05,6
331,iq,2006-11-12,2
332,iq,2006-11-19,13
333,iq,2006-11-26,10
334,iq,2006-12-03,5
335,iq,2006-12-10,2
336,iq,2006-12-17,0
337,iq,2006-12-24,1
338,iq,2007-01-01,0
339,iq,2007-01-08,14
340,iq,2007-01-15,6
341,iq,2007-01-22,10
342,iq,2007-01-29,5
343,iq,2007-02-05,12
344,iq,2007-02-12,9
345,iq,2007-02-19,5
346,iq,2007-02-26,11
347,iq,2007-03-05,2
348,iq,2007-03-12,6
349,iq,2007-03-19,7
350,iq,2007-03-26,6
351,iq,2007-04-02,5
352,iq,2007-04-09,9
353,iq,2007-04-16,5
354,iq,2007-04-23,8
355,iq,2007-04-30,3
356,iq,2007-05-07,4
357,iq,2007-05-14,11
358,iq,2007-05-21,5
359,iq,2007-05-28,8
360,iq,2007-06-04,4
361,iq,2007-06-11,3
362,iq,2007-06-18,1
363,iq,2007-06-25,2
364,iq,2007-07-02,3
365,iq,2007-07-09,4
366,iq,2007-07-16,1
367,iq,2007-07-23,8
368,iq,2007-07-30,5
369,iq,2007-08-06,3
370,iq,2007-08-13,2
371,iq,2007-08-20,7
372,iq,2007-08-27,1
373,iq,2007-09-03,6
374,iq,2007-09-10,7
375,iq,2007-09-17,5
376,iq,2007-09-24,2
377,iq,2007-10-01,6
378,iq,2007-10-08,11
379,iq,2007-10-15,6
380,iq,2007-10-22,3
381,iq,2007-10-29,11
382,iq,2007-11-05,11
383,iq,2007-11-12,5
384,iq,2007-11-19,4
385,iq,2007-11-26,9
386,iq,2007-12-03,23
387,iq,2007-12-10,28
388,iq,2007-12-17,26
389,iq,2007-12-24,7
390,iq,2008-01-01,29
391,iq,2008-01-08,58
392,iq,2008-01-15,26
393,iq,2008-01-22,38
394,iq,2008-01-29,35
395,iq,2008-02-05,37
396,iq,2008-02-12,20
397,iq,2008-02-19,29
398,iq,2008-02-26,25
399,iq,2008-03-04,23
400,iq,2008-03-11,9
401,iq,2008-03-18,3
402,iq,2008-03-25,6
403,iq,2008-04-01,6
404,iq,2008-04-08,3
405,iq,2008-04-15,1
406,iq,2008-04-22,3
407,iq,2008-04-29,1
408,iq,2008-05-06,1
409,iq,2008-05-13,0
410,iq,2008-05-20,2
411,iq,2008-05-27,1
412,iq,2008-06-03,1
413,iq,2008-06-10,0
414,iq,2008-06-17,0
415,iq,2008-06-24,1
416,iq,2008-07-01,0
417,iq,2008-07-08,3
418,iq,2008-07-15,3
419,iq,2008-07-22,1
420,iq,2008-07-29,5
421,iq,2008-08-05,2
422,iq,2008-08-12,5
423,iq,2008-08-19,5
424,iq,2008-08-26,5
425,iq,2008-09-02,9
426,iq,2008-09-09,17
427,iq,2008-09-16,19
428,iq,2008-09-23,25
429,iq,2008-09-30,45
430,iq,2008-10-07,34
431,iq,2008-10-14,63
432,iq,2008-10-21,44
433,iq,2008-10-28,50
434,iq,2008-11-04,35
435,iq,2008-11-11,16
436,iq,2008-11-18,16
437,iq,2008-11-25,13
438,iq,2008-12-02,9
439,iq,2008-12-09,15
440,iq,2008-12-16,4
441,iq,2008-12-23,0
442,iq,2009-01-01,1
443,iq,2009-01-08,10
444,iq,2009-01-15,11
445,iq,2009-01-22,29
446,iq,2009-01-29,35
447,iq,2009-02-05,30
448,iq,2009-02-12,20
449,iq,2009-02-19,21
450,iq,2009-02-26,12
451,iq,2009-03-05,9
452,iq,2009-03-12,11
453,iq,2009-03-19,9
454,iq,2009-03-26,5
455,iq,2009-04-02,11
456,iq,2009-04-09,3
457,iq,2009-04-16,5
458,iq,2009-04-23,5
459,iq,2009-04-30,4
460,iq,2009-05-07,4
461,iq,2009-05-14,1
462,iq,2009-05-21,0
463,iq,2009-05-28,2
464,iq,2009-06-04,3
465,iq,2009-06-11,3
466,iq,2009-06-18,5
467,iq,2009-06-25,2
468,iq,2009-07-02,1
469,iq,2009-07-09,2
470,iq,2009-07-16,0
471,iq,2009-07-23,0
472,iq,2009-07-30,3
473,iq,2009-08-06,5
474,iq,2009-08-13,5
475,iq,2009-08-20,7
476,iq,2009-08-27,5
477,iq,2009-09-03,2
478,iq,2009-09-10,2
479,iq,2009-09-17,2
480,iq,2009-09-24,0
481,iq,2009-10-01,2
482,iq,2009-10-08,1
483,iq,2009-10-15,1
484,iq,2009-10-22,2
485,iq,2009-10-29,2
486,iq,2009-11-05,3
487,iq,2009-11-12,9
488,iq,2009-11-19,5
489,iq,2009-11-26,5
490,iq,2009-12-03,4
491,iq,2009-12-10,4
492,iq,2009-12-17,1
493,iq,2009-12-24,0
494,iq,2010-01-01,0
495,iq,2010-01-08,10
496,iq,2010-01-15,9
497,iq,2010-01-22,17
498,iq,2010-01-29,16
499,iq,2010-02-05,11
500,iq,2010-02-12,12
501,iq,2010-02-19,19
502,iq,2010-02-26,15
503,iq,2010-03-05,12
504,iq,2010-03-12,12
505,iq,2010-03-19,16
506,iq,2010-03-26,9
507,iq,2010-04-02,4
508,iq,2010-04-09,9
509,iq,2010-04-16,6
510,iq,2010-04-23,8
511,iq,2010-04-30,4
512,iq,2010-05-07,2
513,iq,2010-05-14,7
514,iq,2010-05-21,6
515,iq,2010-05-28,5
516,iq,2010-06-04,8
517,iq,2010-06-11,1
518,iq,2010-06-18,1
519,iq,2010-06-25,4
