,city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,reanalysis_air_temp_c,reanalysis_avg_temp_c,reanalysis_dew_point_temp_c,reanalysis_max_air_temp_c,reanalysis_min_air_temp_c,reanalysis_tdtr_c,bucket_ne,bucket_nw,bucket_sw,bucket_se,station_avg_temp_1_c,station_avg_temp_2_c,station_avg_temp_3_c,station_avg_temp_4_c,station_precip_1_mm,station_precip_2_mm,station_precip_3_mm,station_precip_4_mm,reanalysis_sat_precip_amt_1_mm,reanalysis_sat_precip_amt_2_mm,reanalysis_sat_precip_amt_3_mm,reanalysis_sat_precip_amt_4_mm,d_station_avg_temp_1_c,d_station_avg_temp_2_c,d_station_avg_temp_3_c,d_station_avg_temp_4_c,d_station_precip_1_mm,d_station_precip_2_mm,d_station_precip_3_mm,d_station_precip_4_mm,d_reanalysis_sat_precip_amt_1_mm,d_reanalysis_sat_precip_amt_2_mm,d_reanalysis_sat_precip_amt_3_mm,d_reanalysis_sat_precip_amt_4_mm
0,sj,2008,22,2008-05-27,0.0568,0.03983333,0.06226667,0.07591429,4.36,74.08428,0.76,16.137142,27.614286,7.0857143,33.3,23.3,84.1,26.63,26.521418,21.61001,29.149988,24.149988,-269.60715,1.0,1.0,1.0,1.0,28.057142,27.928572,26.071428,26.528572,0.3,3.0,34.3,75.2,0.0,3.66,12.56,78.6,0.44285583,0.31428528,-1.5428581,-1.0857143,-83.8,-81.1,-49.8,-8.9,-0.76,2.9,11.8,77.84
1,sj,2008,23,2008-06-03,-0.044,-0.03046667,0.132,0.08352857,22.55,76.557144,71.17,16.667143,28.0,5.1714287,32.8,25.0,27.7,26.618586,26.578577,22.1643,28.749994,24.450006,-270.29285,1.0,1.0,1.0,2.0,27.614286,28.057142,27.928572,26.071428,84.1,0.3,3.0,34.3,0.76,0.0,3.66,12.56,-0.38571358,0.057142258,-0.0714283,-1.9285717,56.4,-27.4,-24.7,6.6,-70.409996,-71.17,-67.509995,-58.609997
2,sj,2008,24,2008-06-10,-0.0443,-0.024925,0.1322714,0.1591571,13.1,76.844284,48.99,17.01,27.4,6.042857,31.1,23.3,91.7,26.912867,26.857141,22.499994,29.249994,24.35,-269.99286,1.0,1.0,2.0,2.0,28.0,27.614286,28.057142,27.928572,27.7,84.1,0.3,3.0,71.17,0.76,0.0,3.66,0.6000004,0.2142868,0.65714264,0.5285721,-64.0,-7.6,-91.4,-88.7,22.179996,-48.230003,-48.99,-45.33
3,sj,2008,25,2008-06-17,-0.0443,0.08215,0.1443714,0.1167286,7.2,76.87,30.81,17.42,28.757143,6.9857144,34.4,24.4,0.3,27.334284,27.428583,22.847132,30.35,24.35,-269.25,1.0,1.0,2.0,2.0,27.4,28.0,27.614286,28.057142,91.7,27.7,84.1,0.3,48.99,71.17,0.76,0.0,-1.3571434,-0.757143,-1.1428566,-0.70000076,91.4,27.4,83.8,0.0,18.180002,40.36,-30.05,-30.81
4,sj,2008,26,2008-06-24,0.0108,0.0499,0.1005714,0.1173286,17.1,77.39571,8.02,17.678572,28.657143,6.242857,32.8,23.9,28.7,27.45144,27.47143,23.118586,29.35,25.35,-270.3643,1.0,1.0,2.0,2.0,28.757143,27.4,28.0,27.614286,0.3,91.7,27.7,84.1,30.81,48.99,71.17,0.76,0.10000038,-1.257143,-0.65714264,-1.0428562,-28.4,63.0,-1.0,55.4,22.789999,40.97,63.149998,-7.26
5,sj,2008,27,2008-07-01,0.07266667,0.10666,0.1554286,0.1649,11.9,78.53429,17.52,17.80857,28.457144,4.6285715,31.1,25.0,2.9,27.347132,27.378565,23.261438,29.149988,25.550013,-270.92142,1.0,2.0,2.0,2.0,28.657143,28.757143,27.4,28.0,28.7,0.3,91.7,27.7,8.02,30.81,48.99,71.17,0.19999886,0.29999924,-1.0571442,-0.45714378,25.8,-2.6,88.8,24.8,-9.5,13.289999,31.470001,53.649998
6,sj,2008,28,2008-07-08,-0.04645,0.006825,0.2602857,0.2147286,19.86,77.02143,16.37,17.20143,27.714285,5.9142857,31.1,23.9,22.1,27.064295,27.192865,22.67428,28.550013,25.85,-271.12143,1.0,1.0,2.0,2.0,28.457144,28.657143,28.757143,27.4,2.9,28.7,0.3,91.7,17.52,8.02,30.81,48.99,0.7428589,0.94285774,1.0428581,-0.31428528,-19.2,6.6,-21.8,69.6,1.1499996,-8.35,14.439999,32.620003
7,sj,2008,29,2008-07-15,-0.04645,0.006825,0.1958429,0.1761571,5.49,77.615715,4.34,17.571428,28.785715,5.0142856,31.7,26.1,0.0,27.298578,27.457148,23.027155,29.149988,25.550013,-270.5357,1.0,1.0,2.0,2.0,27.714285,28.457144,28.657143,28.757143,22.1,2.9,28.7,0.3,16.37,17.52,8.02,30.81,-1.0714302,-0.32857132,-0.12857246,-0.028572083,22.1,2.9,28.7,0.3,12.030001,13.18,3.6800003,26.47
8,sj,2008,30,2008-07-22,0.2083,0.4295,0.2776833,0.24565,13.62,78.56,3.39,17.94,28.685715,6.3142858,32.8,24.4,7.1,27.448572,27.571436,23.362848,29.149988,25.749994,-270.5643,2.0,3.0,2.0,2.0,28.785715,27.714285,28.457144,28.657143,0.0,22.1,2.9,28.7,4.34,16.37,17.52,8.02,0.10000038,-0.9714298,-0.22857094,-0.028572083,-7.1,15.0,-4.2,21.6,0.95000005,12.9800005,14.13,4.63
9,sj,2008,31,2008-07-29,0.0002,0.0039,0.1090667,0.08648333,8.7,76.52143,13.73,17.608572,28.985714,6.1714287,32.8,25.0,5.1,27.580011,27.735712,23.05285,29.550013,26.050013,-270.35,1.0,1.0,1.0,2.0,28.685715,28.785715,27.714285,28.457144,7.1,0.0,22.1,2.9,3.39,4.34,16.37,17.52,-0.29999924,-0.19999886,-1.2714291,-0.5285702,2.0,-5.1,17.0,-2.2,-10.339999,-9.389999,2.6400013,3.790001
10,sj,2008,32,2008-08-05,0.1122,0.0322,0.1941857,0.2057714,43.5,80.37143,50.94,18.547142,28.357143,5.857143,32.2,23.9,37.6,27.591425,27.692865,23.89715,29.35,25.950006,-270.72144,2.0,1.0,2.0,2.0,28.985714,28.685715,28.785715,27.714285,5.1,7.1,0.0,22.1,13.73,3.39,4.34,16.37,0.62857056,0.32857132,0.4285717,-0.6428585,-32.5,-30.5,-37.6,-15.5,-37.21,-47.55,-46.6,-34.57
11,sj,2008,33,2008-08-12,0.1122,0.0322,0.0589,0.06564286,7.82,77.968575,4.28,18.418571,29.214285,6.3428574,33.9,25.0,1.8,27.999994,28.135706,23.762873,30.149988,25.85,-270.40714,2.0,1.0,1.0,1.0,28.357143,28.985714,28.685715,28.785715,37.6,5.1,7.1,0.0,50.94,13.73,3.39,4.34,-0.8571415,-0.22857094,-0.5285702,-0.4285698,35.8,3.3,5.3,-1.8,46.66,9.449999,-0.8900001,0.059999943
12,sj,2008,34,2008-08-19,0.28915,0.2410333,0.2406,0.2085571,65.9,79.54714,31.97,18.355715,28.971428,5.3285713,32.2,24.4,54.9,27.585718,27.6643,23.678583,29.450006,25.450006,-270.60715,2.0,2.0,2.0,2.0,29.214285,28.357143,28.985714,28.685715,1.8,37.6,5.1,7.1,4.28,50.94,13.73,3.39,0.24285698,-0.6142845,0.014286041,-0.2857132,-53.1,-17.3,-49.8,-47.8,-27.689999,18.97,-18.24,-28.58
13,sj,2008,35,2008-08-26,0.1132,0.2410333,0.2260833,0.1982429,31.6,79.86429,19.67,18.777143,28.857143,5.4714284,32.2,24.4,16.2,27.872858,27.985712,24.068567,30.050013,25.749994,-270.45,2.0,2.0,2.0,2.0,28.971428,29.214285,28.357143,28.985714,54.9,1.8,37.6,5.1,31.97,4.28,50.94,13.73,0.114284515,0.3571415,-0.5,0.12857056,38.7,-14.4,21.4,-11.1,12.299999,-15.389999,31.269999,-5.9400005
14,sj,2008,36,2008-09-02,0.1132,0.0173,0.1904167,0.1199833,50.0,80.024284,60.56,19.091429,29.357143,6.4142857,35.0,25.0,6.9,28.075708,28.1643,24.249994,30.35,25.749994,-269.77856,2.0,1.0,2.0,2.0,28.857143,28.971428,29.214285,28.357143,16.2,54.9,1.8,37.6,19.67,31.97,4.28,50.94,-0.5,-0.38571548,-0.1428585,-1.0,9.3,48.0,-5.1,30.7,-40.89,-28.590002,-56.280003,-9.620003
15,sj,2008,37,2008-09-09,0.3619,0.649,0.1464,0.1313857,58.4,81.32429,126.68,18.901428,28.385714,6.428571,34.4,23.3,45.1,27.654291,27.7857,24.125727,30.450006,25.649988,-270.16428,2.0,3.0,2.0,2.0,29.357143,28.857143,28.971428,29.214285,6.9,16.2,54.9,1.8,60.56,19.67,31.97,4.28,0.9714298,0.47142982,0.58571434,0.8285713,-38.2,-28.9,9.8,-43.3,-66.119995,-107.01,-94.71,-122.4
16,sj,2008,38,2008-09-16,0.091375,0.16405,0.2516667,0.19645,28.1,80.44857,48.44,18.595715,28.22857,6.2714286,32.8,24.4,20.4,27.607141,27.72143,23.931421,30.149988,25.749994,-270.0357,1.0,2.0,2.0,2.0,28.385714,29.357143,28.857143,28.971428,45.1,6.9,16.2,54.9,126.68,60.56,19.67,31.97,0.15714264,1.1285725,0.62857246,0.742857,24.7,-13.5,-4.2,34.5,78.240005,12.120003,-28.769999,-16.47
17,sj,2008,39,2008-09-23,0.0795,0.103675,0.2826857,0.2613,136.91,79.86143,153.79,18.034286,27.4,5.857143,32.2,22.8,146.3,27.22857,27.300013,23.385706,30.149988,24.950006,-270.33572,1.0,2.0,2.0,2.0,28.22857,28.385714,29.357143,28.857143,20.4,45.1,6.9,16.2,48.44,126.68,60.56,19.67,0.8285713,0.98571396,1.9571438,1.4571438,-125.9,-101.2,-139.4,-130.1,-105.34999,-27.109993,-93.229996,-134.12
