,city,week_start_date,total_cases
0,sj,1990-04-30,4
1,sj,1990-05-07,5
2,sj,1990-05-14,4
3,sj,1990-05-21,3
4,sj,1990-05-28,6
5,sj,1990-06-04,2
6,sj,1990-06-11,4
7,sj,1990-06-18,5
8,sj,1990-06-25,10
9,sj,1990-07-02,6
10,sj,1990-07-09,8
11,sj,1990-07-16,2
12,sj,1990-07-23,6
13,sj,1990-07-30,17
14,sj,1990-08-06,23
15,sj,1990-08-13,13
16,sj,1990-08-20,21
17,sj,1990-08-27,28
18,sj,1990-09-03,24
19,sj,1990-09-10,20
20,sj,1990-09-17,40
21,sj,1990-09-24,27
22,sj,1990-10-01,42
23,sj,1990-10-08,33
24,sj,1990-10-15,43
25,sj,1990-10-22,37
26,sj,1990-10-29,57
27,sj,1990-11-05,71
28,sj,1990-11-12,44
29,sj,1990-11-19,56
30,sj,1990-11-26,53
31,sj,1990-12-03,52
32,sj,1990-12-10,47
33,sj,1990-12-17,26
34,sj,1990-12-24,27
35,sj,1991-01-01,21
36,sj,1991-01-08,21
37,sj,1991-01-15,26
38,sj,1991-01-22,34
39,sj,1991-01-29,37
40,sj,1991-02-05,17
41,sj,1991-02-12,19
42,sj,1991-02-19,25
43,sj,1991-02-26,18
44,sj,1991-03-05,21
45,sj,1991-03-12,17
46,sj,1991-03-19,17
47,sj,1991-03-26,16
48,sj,1991-04-02,16
49,sj,1991-04-09,15
50,sj,1991-04-16,23
51,sj,1991-04-23,16
52,sj,1991-04-30,17
53,sj,1991-05-07,12
54,sj,1991-05-14,17
55,sj,1991-05-21,10
56,sj,1991-05-28,15
57,sj,1991-06-04,19
58,sj,1991-06-11,21
59,sj,1991-06-18,14
60,sj,1991-06-25,18
61,sj,1991-07-02,13
62,sj,1991-07-09,14
63,sj,1991-07-16,18
64,sj,1991-07-23,23
65,sj,1991-07-30,25
66,sj,1991-08-06,62
67,sj,1991-08-13,60
68,sj,1991-08-20,76
69,sj,1991-08-27,66
70,sj,1991-09-03,64
71,sj,1991-09-10,68
72,sj,1991-09-17,89
73,sj,1991-09-24,92
74,sj,1991-10-01,140
75,sj,1991-10-08,116
76,sj,1991-10-15,142
77,sj,1991-10-22,129
78,sj,1991-10-29,140
79,sj,1991-11-05,140
80,sj,1991-11-12,127
81,sj,1991-11-19,129
82,sj,1991-11-26,169
83,sj,1991-12-03,141
84,sj,1991-12-10,108
85,sj,1991-12-17,78
86,sj,1991-12-24,70
87,sj,1992-01-01,81
88,sj,1992-01-08,104
89,sj,1992-01-15,90
90,sj,1992-01-22,85
91,sj,1992-01-29,55
92,sj,1992-02-05,53
93,sj,1992-02-12,65
94,sj,1992-02-19,33
95,sj,1992-02-26,38
96,sj,1992-03-04,59
97,sj,1992-03-11,40
98,sj,1992-03-18,37
99,sj,1992-03-25,29
100,sj,1992-04-01,30
101,sj,1992-04-08,30
102,sj,1992-04-15,28
103,sj,1992-04-22,23
104,sj,1992-04-29,24
105,sj,1992-05-06,29
106,sj,1992-05-13,26
107,sj,1992-05-20,23
108,sj,1992-05-27,20
109,sj,1992-06-03,19
110,sj,1992-06-10,20
111,sj,1992-06-17,26
112,sj,1992-06-24,29
113,sj,1992-07-01,31
114,sj,1992-07-08,28
115,sj,1992-07-15,26
116,sj,1992-07-22,32
117,sj,1992-07-29,35
118,sj,1992-08-05,33
119,sj,1992-08-12,30
120,sj,1992-08-19,52
121,sj,1992-08-26,59
122,sj,1992-09-02,67
123,sj,1992-09-09,65
124,sj,1992-09-16,74
125,sj,1992-09-23,70
126,sj,1992-09-30,61
127,sj,1992-10-07,53
128,sj,1992-10-14,76
129,sj,1992-10-21,61
130,sj,1992-10-28,57
131,sj,1992-11-04,44
132,sj,1992-11-11,34
133,sj,1992-11-18,47
134,sj,1992-11-25,60
135,sj,1992-12-02,60
136,sj,1992-12-09,53
137,sj,1992-12-16,36
138,sj,1992-12-23,31
139,sj,1993-01-01,30
140,sj,1993-01-08,32
141,sj,1993-01-15,28
142,sj,1993-01-22,33
143,sj,1993-01-29,33
144,sj,1993-02-05,35
145,sj,1993-02-12,22
146,sj,1993-02-19,13
147,sj,1993-02-26,13
148,sj,1993-03-05,21
149,sj,1993-03-12,17
150,sj,1993-03-19,11
151,sj,1993-03-26,8
152,sj,1993-04-02,8
153,sj,1993-04-09,6
154,sj,1993-04-16,6
155,sj,1993-04-23,7
156,sj,1993-04-30,12
157,sj,1993-05-07,17
158,sj,1993-05-14,10
159,sj,1993-05-21,10
160,sj,1993-05-28,18
161,sj,1993-06-04,19
162,sj,1993-06-11,12
163,sj,1993-06-18,22
164,sj,1993-06-25,12
165,sj,1993-07-02,21
166,sj,1993-07-09,18
167,sj,1993-07-16,16
168,sj,1993-07-23,16
169,sj,1993-07-30,22
170,sj,1993-08-06,17
171,sj,1993-08-13,25
172,sj,1993-08-20,23
173,sj,1993-08-27,12
174,sj,1993-09-03,25
175,sj,1993-09-10,28
176,sj,1993-09-17,27
177,sj,1993-09-24,18
178,sj,1993-10-01,23
179,sj,1993-10-08,23
180,sj,1993-10-15,29
181,sj,1993-10-22,38
182,sj,1993-10-29,36
183,sj,1993-11-05,43
184,sj,1993-11-12,46
185,sj,1993-11-19,31
186,sj,1993-11-26,25
187,sj,1993-12-03,40
188,sj,1993-12-10,31
189,sj,1993-12-17,38
190,sj,1993-12-24,30
191,sj,1994-01-01,22
192,sj,1994-01-08,31
193,sj,1994-01-15,26
194,sj,1994-01-22,35
195,sj,1994-01-29,36
196,sj,1994-02-05,39
197,sj,1994-02-12,25
198,sj,1994-02-19,31
199,sj,1994-02-26,37
200,sj,1994-03-05,33
201,sj,1994-03-12,25
202,sj,1994-03-19,24
203,sj,1994-03-26,18
204,sj,1994-04-02,23
205,sj,1994-04-09,13
206,sj,1994-04-16,18
207,sj,1994-04-23,14
208,sj,1994-04-30,17
209,sj,1994-05-07,22
210,sj,1994-05-14,13
211,sj,1994-05-21,24
212,sj,1994-05-28,31
213,sj,1994-06-04,34
214,sj,1994-06-11,31
215,sj,1994-06-18,31
216,sj,1994-06-25,38
217,sj,1994-07-02,49
218,sj,1994-07-09,42
219,sj,1994-07-16,49
220,sj,1994-07-23,55
221,sj,1994-07-30,80
222,sj,1994-08-06,84
223,sj,1994-08-13,72
224,sj,1994-08-20,89
225,sj,1994-08-27,115
226,sj,1994-09-03,179
227,sj,1994-09-10,202
228,sj,1994-09-17,272
229,sj,1994-09-24,302
230,sj,1994-10-01,395
231,sj,1994-10-08,426
232,sj,1994-10-15,461
233,sj,1994-10-22,381
234,sj,1994-10-29,333
235,sj,1994-11-05,353
236,sj,1994-11-12,410
237,sj,1994-11-19,364
238,sj,1994-11-26,359
239,sj,1994-12-03,288
240,sj,1994-12-10,221
241,sj,1994-12-17,149
242,sj,1994-12-24,112
243,sj,1995-01-01,154
244,sj,1995-01-08,91
245,sj,1995-01-15,72
246,sj,1995-01-22,56
247,sj,1995-01-29,46
248,sj,1995-02-05,37
249,sj,1995-02-12,26
250,sj,1995-02-19,17
251,sj,1995-02-26,17
252,sj,1995-03-05,20
253,sj,1995-03-12,11
254,sj,1995-03-19,7
255,sj,1995-03-26,16
256,sj,1995-04-02,14
257,sj,1995-04-09,16
258,sj,1995-04-16,5
259,sj,1995-04-23,2
260,sj,1995-04-30,6
261,sj,1995-05-07,5
262,sj,1995-05-14,4
263,sj,1995-05-21,3
264,sj,1995-05-28,4
265,sj,1995-06-04,16
266,sj,1995-06-11,8
267,sj,1995-06-18,7
268,sj,1995-06-25,10
269,sj,1995-07-02,14
270,sj,1995-07-09,7
271,sj,1995-07-16,9
272,sj,1995-07-23,11
273,sj,1995-07-30,23
274,sj,1995-08-06,17
275,sj,1995-08-13,19
276,sj,1995-08-20,24
277,sj,1995-08-27,17
278,sj,1995-09-03,28
279,sj,1995-09-10,40
280,sj,1995-09-17,33
281,sj,1995-09-24,31
282,sj,1995-10-01,33
283,sj,1995-10-08,29
284,sj,1995-10-15,30
285,sj,1995-10-22,36
286,sj,1995-10-29,48
287,sj,1995-11-05,40
288,sj,1995-11-12,28
289,sj,1995-11-19,36
290,sj,1995-11-26,19
291,sj,1995-12-03,34
292,sj,1995-12-10,23
293,sj,1995-12-17,17
294,sj,1995-12-24,17
295,sj,1996-01-01,23
296,sj,1996-01-08,14
297,sj,1996-01-15,20
298,sj,1996-01-22,13
299,sj,1996-01-29,23
300,sj,1996-02-05,20
301,sj,1996-02-12,16
302,sj,1996-02-19,16
303,sj,1996-02-26,23
304,sj,1996-03-04,14
305,sj,1996-03-11,15
306,sj,1996-03-18,4
307,sj,1996-03-25,5
308,sj,1996-04-01,5
